match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
1995-09-03_zaragoza_oviedo,1995-96,1995-09-03,,1995,9,7,Zaragoza,Oviedo,1,0,H,1,0,H,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-09_albacete_sevilla,1995-96,1995-09-09,,1995,9,6,Albacete,Sevilla,3,2,H,2,1,H,5,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-09_barcelona_merida,1995-96,1995-09-09,,1995,9,6,Barcelona,Merida,2,2,D,1,1,D,4,0,True,True,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-09_betis_zaragoza,1995-96,1995-09-09,,1995,9,6,Betis,Zaragoza,3,1,H,2,0,H,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-09_real_madrid_ath_bilbao,1995-96,1995-09-09,,1995,9,6,Real Madrid,Ath Bilbao,1,2,A,0,0,D,3,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_compostela_la_coruna,1995-96,1995-09-10,,1995,9,7,Compostela,La Coruna,4,0,H,2,0,H,4,4,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_oviedo_vallecano,1995-96,1995-09-10,,1995,9,7,Oviedo,Vallecano,2,0,H,1,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_salamanca_celta,1995-96,1995-09-10,,1995,9,7,Salamanca,Celta,0,1,A,0,0,D,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_santander_ath_madrid,1995-96,1995-09-10,,1995,9,7,Santander,Ath Madrid,0,4,A,0,0,D,4,-4,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_sociedad_sp_gijon,1995-96,1995-09-10,,1995,9,7,Sociedad,Sp Gijon,2,0,H,1,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_tenerife_espanol,1995-96,1995-09-10,,1995,9,7,Tenerife,Espanol,1,4,A,0,2,A,5,-3,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10_valencia_valladolid,1995-96,1995-09-10,,1995,9,7,Valencia,Valladolid,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-16_ath_bilbao_ath_madrid,1995-96,1995-09-16,,1995,9,6,Ath Bilbao,Ath Madrid,0,2,A,0,1,A,2,-2,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-17_celta_tenerife,1995-96,1995-09-17,,1995,9,7,Celta,Tenerife,2,2,D,2,2,D,4,0,True,True,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
