candidate_id,member,algorithm,data_version_sha256,split_manifest_reference,features_version,transformations_summary,hyperparameters,seed,train_macro_f1,validation_macro_f1,overfitting_gap_macro_f1,train_accuracy,validation_accuracy,validation_balanced_accuracy,validation_log_loss,cv_summary_reference,confusion_matrix_reference,training_time_seconds,inference_time_ms,artifact_path,evidence_path,limitations_and_errors,status
A,I1,Regresión logística multinomial,6288a872df07a196a48ea05039671feba0616489927ebc12b344d96f0e921b0c,reports/metrics/split_manifest.json,historical_features_v1:563634a73e265ab71f4d1b3795d1245eedf33a82c26328a61e99d16d8f8d2c81,Imputación mediana + StandardScaler numéricos; moda + OneHot equipos; ajustado solo en train.,"{""C"": 0.1, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",42,0.455503,0.464836,0.000000,0.475487,0.501253,0.479022,1.020879,not_applied_temporal_holdout_only,reports/experiments/candidate_a_validation_confusion_matrix.json,0.298936,0.036747,models/candidates/model_a/candidate_a_logistic_regression_v1.joblib,reports/experiments/candidate_a_metrics.json,No usa cuotas; la primera aparición de equipos usa valores cold-start; test reservado.,ready_for_comparison
B,I2,HistGradientBoostingClassifier,6288a872df07a196a48ea05039671feba0616489927ebc12b344d96f0e921b0c,reports/metrics/split_manifest.json,historical_features_v1:563634a73e265ab71f4d1b3795d1245eedf33a82c26328a61e99d16d8f8d2c81,Imputación mediana numérica; moda + ordinal de equipos; ajustado solo en train.,"{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.06, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",42,0.753251,0.377080,0.376171,0.777350,0.478697,0.407788,1.068033,not_applied_temporal_holdout_only,reports/experiments/candidate_b_validation_confusion_matrix.json,5.195503,0.045036,models/candidates/model_b/candidate_b_hist_gradient_boosting_v1.joblib,reports/experiments/candidate_b_metrics.json,No usa cuotas; cold-start para equipos nuevos; test reservado.,disqualified
C,I3,RandomForestClassifier,6288a872df07a196a48ea05039671feba0616489927ebc12b344d96f0e921b0c,reports/metrics/split_manifest.json,historical_features_v1:563634a73e265ab71f4d1b3795d1245eedf33a82c26328a61e99d16d8f8d2c81,"Imputación mediana numérica; moda + one-hot de equipos; ajustado solo en train. Regularizado (max_depth=6, min_samples_leaf=15, min_samples_split=30) para cerrar el gap de overfitting (0.256 -> 0.000) frente al ajuste inicial.","{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 15, ""min_samples_split"": 30, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",42,0.467859,0.474194,0.000000,0.485792,0.507101,0.484890,1.022551,not_applied_temporal_holdout_only,reports/experiments/candidate_c_validation_confusion_matrix.json,2.618986,0.841262,models/candidates/model_c/candidate_c_random_forest_v1.joblib,reports/experiments/candidate_c_metrics.json,No usa cuotas; cold-start para equipos nuevos; test reservado.,ready_for_comparison
D,I4,SVC RBF probabilistic,6288a872df07a196a48ea05039671feba0616489927ebc12b344d96f0e921b0c,reports/metrics/split_manifest.json,historical_features_v1:563634a73e265ab71f4d1b3795d1245eedf33a82c26328a61e99d16d8f8d2c81,Imputación mediana + StandardScaler numéricos; moda + one-hot equipos; ajustado solo en train.,"{""C"": 0.5, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": true, ""random_state"": 42, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",42,0.492910,0.483744,0.009166,0.501301,0.496241,0.489196,1.009429,not_applied_temporal_holdout_only,reports/experiments/candidate_d_validation_confusion_matrix.json,27.412584,0.656958,models/candidates/model_d/candidate_d_svc_rbf_v1.joblib,reports/experiments/candidate_d_metrics.json,SVC no es interpretable de forma nativa; no usa cuotas; test reservado.,ready_for_comparison
