season,matches,home_win_rate,draw_rate,away_win_rate,avg_total_goals,avg_home_goal_diff
1995-96,462,0.45670995670995673,0.2813852813852814,0.2619047619047619,2.696969696969697,0.42424242424242425
1996-97,462,0.47619047619047616,0.25757575757575757,0.2662337662337662,2.7510822510822512,0.5432900432900433
1997-98,380,0.4789473684210526,0.2894736842105263,0.23157894736842105,2.655263157894737,0.5078947368421053
1998-99,380,0.5026315789473684,0.25526315789473686,0.24210526315789474,2.639473684210526,0.5815789473684211
1999-00,380,0.4789473684210526,0.29473684210526313,0.22631578947368422,2.6289473684210525,0.5184210526315789
2000-01,380,0.5236842105263158,0.26052631578947366,0.21578947368421053,2.8815789473684212,0.6552631578947369
2001-02,380,0.48947368421052634,0.2657894736842105,0.24473684210526317,2.528947368421053,0.4763157894736842
2002-03,380,0.4631578947368421,0.27631578947368424,0.26052631578947366,2.6736842105263157,0.43157894736842106
2003-04,380,0.45263157894736844,0.25,0.29736842105263156,2.6710526315789473,0.29210526315789476
2004-05,380,0.5052631578947369,0.2631578947368421,0.23157894736842105,2.5789473684210527,0.45263157894736844
2005-06,380,0.4263157894736842,0.27631578947368424,0.29736842105263156,2.463157894736842,0.26842105263157895
2006-07,380,0.45263157894736844,0.2578947368421053,0.2894736842105263,2.4789473684210526,0.24736842105263157
2007-08,380,0.4789473684210526,0.22894736842105262,0.29210526315789476,2.6868421052631577,0.4131578947368421
2008-09,380,0.4842105263157895,0.21842105263157896,0.29736842105263156,2.8973684210526316,0.4236842105263158
2009-10,380,0.5105263157894737,0.25,0.2394736842105263,2.713157894736842,0.4868421052631579
2010-11,380,0.5184210526315789,0.20789473684210527,0.2736842105263158,2.7421052631578946,0.531578947368421
2011-12,380,0.49473684210526314,0.24736842105263157,0.2578947368421053,2.763157894736842,0.5947368421052631
2012-13,380,0.49736842105263157,0.22105263157894736,0.28157894736842104,2.8710526315789475,0.5026315789473684
2013-14,380,0.4710526315789474,0.22631578947368422,0.3026315789473684,2.75,0.5131578947368421
2014-15,380,0.45,0.2394736842105263,0.3105263157894737,2.655263157894737,0.41842105263157897
2015-16,380,0.48157894736842105,0.24210526315789474,0.27631578947368424,2.7447368421052634,0.4921052631578947
2016-17,380,0.4763157894736842,0.23421052631578948,0.2894736842105263,2.942105263157895,0.38421052631578945
2017-18,380,0.4710526315789474,0.22631578947368422,0.3026315789473684,2.694736842105263,0.4
2018-19,380,0.4421052631578947,0.2894736842105263,0.26842105263157895,2.586842105263158,0.31842105263157894
2019-20,323,0.47058823529411764,0.2848297213622291,0.24458204334365324,2.51702786377709,0.4613003095975232
2020-21,437,0.41189931350114417,0.2791762013729977,0.30892448512585813,2.4759725400457664,0.20137299771167047
2021-22,380,0.4342105263157895,0.29210526315789476,0.2736842105263158,2.5026315789473683,0.3394736842105263
2022-23,380,0.4789473684210526,0.23421052631578948,0.2868421052631579,2.513157894736842,0.3973684210526316
2023-24,380,0.4394736842105263,0.28157894736842104,0.2789473684210526,2.6447368421052633,0.3236842105263158
2024-25,380,0.44473684210526315,0.25526315789473686,0.3,2.6184210526315788,0.2868421052631579
2025-26,380,0.48947368421052634,0.24473684210526317,0.2657894736842105,2.694736842105263,0.45263157894736844
